Timestamp,Source_City,Destination_City,Cargo,Cargo_Mass_kg,Speed_kmh,Speed_Limit_kmh,RPM,Gear,Throttle,Brake,Steering,Accel_X,Accel_Y,Accel_Z,Engine_Wear_%,Tire_Wear_%,Chassis_Wear_%,Fuel_%,Driving_Status
46:57.2,Tekirdağ,Καβάλα,None,0,0,0,550,0,0,0,0,0.002,0,0,1.91,16.19,12.12,54.4,Normal
46:58.2,Tekirdağ,Καβάλα,None,0,0,0,550,4,0,0,0,0,-0.001,0,1.91,16.19,12.12,54.4,Normal
46:59.2,Tekirdağ,Καβάλα,None,0,0,0,550,4,0,0,0,0.002,0,0,1.91,16.19,12.12,54.4,Normal
47:00.2,Tekirdağ,Καβάλα,None,0,0,0,550,4,0,0,0,0,-0.001,0,1.91,16.19,12.12,54.4,Normal
47:01.2,Tekirdağ,Καβάλα,None,0,1.2,0,859.1,4,0.42,0,1,-0.01,-0.009,-1.106,1.91,16.19,12.12,54.4,Normal
47:02.2,Tekirdağ,Καβάλα,None,0,11.7,0,1181.8,4,0.69,0,1,-0.12,-0.103,-4.904,1.91,16.19,12.12,54.4,Normal
47:03.2,Tekirdağ,Καβάλα,None,0,18.6,0,922.4,7,0.19,0,1,-0.02,0.05,-0.263,1.91,16.19,12.12,54.4,Normal
47:04.2,Tekirdağ,Καβάλα,None,0,17.9,0,866.7,7,0,0,1,-0.269,0.015,0.391,1.91,16.19,12.12,54.4,Normal
47:05.2,Tekirdağ,Καβάλα,None,0,17.4,0,1375.5,5,0.12,0,1,-0.217,-0.013,0.061,1.91,16.19,12.12,54.4,Normal
47:06.2,Tekirdağ,Καβάλα,None,0,15.9,0,1236.2,5,0,0,1,-0.093,0.01,0.606,1.91,16.19,12.12,54.4,Normal
47:07.2,Tekirdağ,Καβάλα,None,0,13.7,0,1064.3,5,0,0,1,-0.043,0.007,0.611,1.91,16.19,12.12,54.4,Normal
47:08.2,Tekirdağ,Καβάλα,None,0,11.6,0,902.4,5,0,0,1,0.159,-0.004,0.537,1.91,16.19,12.12,54.4,Normal
47:09.2,Tekirdağ,Καβάλα,None,0,7.5,0,694.3,5,0,0.15,1,0.284,-0.015,1.409,1.91,16.19,12.12,54.4,Normal
47:10.2,Tekirdağ,Καβάλα,None,0,4.7,0,507.6,4,0,0.12,1,-0.06,-0.045,-0.269,1.91,16.19,12.12,54.4,Normal
47:11.2,Tekirdağ,Καβάλα,None,0,4.3,0,549.8,4,0,0.36,1,0.221,0.007,0.987,1.91,16.19,12.12,54.4,Normal
47:12.2,Tekirdağ,Καβάλα,None,0,0,0,550,4,0,0,1,0.008,-0.084,0.003,1.91,16.19,12.12,54.4,Normal
47:13.2,Tekirdağ,Καβάλα,None,0,0,0,550.2,-1,0.03,0,1,-0.004,0,-0.002,1.91,16.19,12.12,54.4,Normal
47:14.2,Tekirdağ,Καβάλα,None,0,-2.9,0,696.2,-1,0.27,0,1,0.448,0.054,1.666,1.91,16.19,12.12,54.4,Normal
47:15.2,Tekirdağ,Καβάλα,None,0,-2.9,0,659.2,-1,0.04,0,-1,-0.15,-0.013,-0.288,1.91,16.19,12.12,54.4,Normal
47:16.2,Tekirdağ,Καβάλα,None,0,-3.7,0,860.1,-1,0.08,0,-1,-0.046,-0.033,0.359,1.91,16.19,12.12,54.4,Normal
47:17.2,Tekirdağ,Καβάλα,None,0,-4.7,0,1090.9,-1,0.15,0,-1,-0.103,-0.014,0.413,1.91,16.19,12.12,54.4,Normal
47:18.2,Tekirdağ,Καβάλα,None,0,-6.3,0,1459,-1,0.15,0,-1,-0.149,-0.005,0.389,1.91,16.19,12.12,54.4,Normal
